PC1,PC2,Cluster,Target,Target_Label
1.3683892922875693,0.1626857143221526,0,0,Dropout
1.563182171464532,-1.3096682380476077,0,1,Enrolled
2.2358655587936807,0.5407527440488394,1,0,Dropout
0.09851222265296168,-2.9804540806188466,0,1,Enrolled
1.0581160550884248,-3.1080200330527656,0,2,Graduate
1.7111848607779299,-2.5367334392750918,0,1,Enrolled
1.4634297131108425,-0.3688061901598266,0,1,Enrolled
1.406322821078693,0.3730685682764767,1,2,Graduate
-1.9405321907521766,0.020534182714369336,2,2,Graduate
-0.19589834951428206,1.642023003483647,1,0,Dropout
-0.025955592032625936,3.408076330143964,1,2,Graduate
-1.588054202194425,-0.7026907022304041,2,0,Dropout
1.9541992403609396,-1.0351340849221804,0,1,Enrolled
-2.922348208896899,-0.49151224700313445,2,2,Graduate
-0.49195343224147536,0.5723044734948414,2,0,Dropout
1.4027188655230662,-1.8550300609438977,0,2,Graduate
-2.254193747354808,-0.4857132637355005,2,2,Graduate
-0.017978148195688264,-2.2126324808792113,0,1,Enrolled
-0.18849206176649336,-0.14610124714377273,0,1,Enrolled
0.9694197363818142,-3.2706557598097055,0,2,Graduate
2.4601138149707475,-1.404707029200168,0,2,Graduate
1.7011702253337841,0.2804155946993567,0,0,Dropout
0.9720837534669826,2.6010448322284963,1,0,Dropout
0.24729098287007337,3.284520449591031,1,1,Enrolled
-1.4138021082069072,-1.3679509783915103,2,2,Graduate
-3.092540595383593,0.7445834695476526,2,1,Enrolled
-0.4875384355305451,-2.2951600622661634,0,0,Dropout
-1.3830872675905341,-0.17820415829152367,2,1,Enrolled
0.1555901023969172,1.1944526696660196,1,0,Dropout
0.2818157085954447,0.7916879745228826,1,2,Graduate
-2.002127456940171,1.5157891638521488,2,1,Enrolled
-1.0757397442968488,1.0364329679821518,2,2,Graduate
-0.5695689292446365,-2.6112075858185038,0,1,Enrolled
2.026915328715262,-0.31035175849463664,0,1,Enrolled
1.0331565565644325,2.164719385553002,1,2,Graduate
2.1756818452882776,-0.3596153953113835,0,0,Dropout
-0.9994754794173708,-0.12495494437898816,2,2,Graduate
-1.2144897464039803,-0.028364166137744545,2,1,Enrolled
0.7502359798113318,-0.06547221770052816,0,1,Enrolled
-0.41559997644957397,0.6524336323826965,1,1,Enrolled
2.9749727164802193,-0.07298281097943757,0,2,Graduate
-1.7821917613822682,1.9079017998121106,2,1,Enrolled
-1.9689509661963696,-0.48614715607362063,2,2,Graduate
-0.8247046953538163,-0.8308158063634346,2,2,Graduate
3.2923868996788874,-0.21020905282776806,0,1,Enrolled
1.5932935019402277,0.5288790080044103,1,1,Enrolled
-1.9974211019547725,0.1506729885451344,2,2,Graduate
0.3148015415694093,1.772645714434567,1,0,Dropout
0.5005343880779245,1.3958796094290609,1,0,Dropout
-0.39623554609087835,0.37567299158799833,2,2,Graduate
-0.31370778012864614,-2.770466210500584,0,2,Graduate
-0.18125341153599223,3.1610369433910104,1,0,Dropout
-1.9959553249155568,-0.21723346608431163,2,1,Enrolled
2.487619198652403,1.0575810582668967,1,1,Enrolled
-1.0256393684373768,-2.81500036858869,0,0,Dropout
1.8808043197057207,-1.7120357395790595,0,1,Enrolled
2.340078563841733,-0.35485627253573365,0,2,Graduate
0.15035660898757308,-0.03429046886758696,0,0,Dropout
-3.2067148471231275,-0.22682462743509624,2,2,Graduate
1.2256897344449085,-0.26021899098270584,0,0,Dropout
2.4476071176323146,1.3377478739330164,1,0,Dropout
1.0399262359336583,0.8144078520007081,1,0,Dropout
-1.7691689485928126,-0.9756990426205437,2,1,Enrolled
